PSEUDO_DEPTH,TEMP       ,CALI       ,GR         ,ILD        ,NPHI       ,RHOB       ,DT         ,TVD        ,TVDSS      ,VCL        ,PHIE       ,PHIT       ,SW         ,EF,PERFOS     ,RES_ID,WELL_ID,X,Y,HACKANAME
2142.65,89.55,9.83,56.44,1.3747,0.2185,2.2908,113.59,1654.06,1632.06,0.3216,0.1498,0.248,0.8926,2,0,3005,210075859,15,20,B03
2142.8,89.55,9.84,56.37,1.3016,0.2306,2.3038,111.41,1654.21,1632.21,0.3202,0.1486,0.2464,0.9295,2,0,3005,210075859,15,20,B03
2142.96,89.56,9.9,55.12,1.2692,0.2411,2.3098,110.7,1654.35,1632.35,0.2942,0.1566,0.2464,0.9224,2,0,3005,210075859,15,20,B03
2143.11,89.56,10.03,53.58,1.2871,0.249,2.3071,112.28,1654.5,1632.5,0.2621,0.1733,0.2533,0.8595,2,0,3005,210075859,15,20,B03
2143.26,89.57,10.13,52.05,1.3237,0.2523,2.2868,113.04,1654.65,1632.65,0.2302,0.191,0.2612,0.7934,2,0,3005,210075859,15,20,B03
2143.41,89.57,10.11,53.02,1.3611,0.257,2.271,113.76,1654.79,1632.79,0.2503,0.1922,0.2685,0.7679,2,0,3005,210075859,15,20,B03
2143.56,89.58,9.96,55.08,1.3868,0.254,2.2637,119.15,1654.94,1632.94,0.2933,0.179,0.2685,0.7856,2,0,3005,210075859,15,20,B03
2143.72,89.58,9.86,57.49,1.3745,0.2344,2.2633,128.66,1655.09,1633.09,0.3435,0.1601,0.2649,0.8353,2,0,3005,210075859,15,20,B03
2143.87,89.59,9.94,59.85,1.3306,0.2094,2.2674,137.75,1655.23,1633.23,0.3927,0.1376,0.2574,0.9195,2,0,3005,210075859,15,20,B03
2149.66,89.79,10.14,72.88,1.8563,0.2199,2.2933,103.98,1660.8,1638.8,0.6642,0.0538,0.2565,0.7746,5,0,3005,210075859,15,20,B03
2149.81,89.79,10.05,69.61,1.9438,0.2246,2.2616,93.64,1660.94,1638.94,0.596,0.0882,0.2701,0.7197,5,0,3005,210075859,15,20,B03
