PSEUDO_DEPTH;TEMP       ;CALI       ;GR         ;ILD        ;NPHI       ;RHOB       ;DT         ;TVD        ;TVDSS      ;VCL        ;PHIE       ;PHIT       ;SW         ;EF;PERFOS     ;RES_ID;WELL_ID;X;Y;HACKANAME
2330.71;94.63;12.2749;54.91;3.1539;0.1971;2.3053;108.01;1725.35;1698.15;0.3818;0.1083;0.1976;0.445;2;0;2900;790429659;6;4;B0700
2330.86;94.63;12.3052;53.08;3.1166;0.1831;2.31;113.94;1725.4;1698.2;0.3513;0.1038;0.186;0.4763;2;0;2900;790429659;6;4;B0700
2331.02;94.63;12.3651;53.16;3.0641;0.1764;2.3189;120.35;1725.45;1698.25;0.3526;0.0955;0.178;0.5049;2;0;2900;790429659;6;4;B0700
2331.17;94.63;12.4452;54.7;2.9473;0.1811;2.3333;115.29;1725.5;1698.3;0.3783;0.0912;0.1797;0.5156;2;0;2900;790429659;6;4;B0700
2331.32;94.64;12.5334;55.39;2.8652;0.1985;2.3524;97.01;1725.55;1698.35;0.3899;0.1115;0.2027;0.4643;3;0;2900;790429659;6;4;B0700
2331.47;94.64;12.5757;56.4;2.7998;0.2166;2.3712;91.39;1725.6;1698.4;0.4067;0.1063;0.2014;0.4765;5;0;2900;790429659;6;4;B0700
2331.63;94.64;12.5781;58.89;2.7134;0.2358;2.3827;94.93;1725.65;1698.45;0.4481;0.0979;0.2028;0.4868;5;0;2900;790429659;6;4;B0700
2331.78;94.64;12.587;62.56;2.6278;0.2594;2.3797;97.25;1725.7;1698.5;0.5093;0.0916;0.2107;0.4811;5;0;2900;790429659;6;4;B0700
2331.93;94.64;12.5945;65.63;2.5464;0.2739;2.3604;97.31;1725.75;1698.55;0.5606;0.0918;0.223;0.466;5;0;2900;790429659;6;4;B0700
2332.08;94.65;12.6387;66.68;2.5565;0.2755;2.3287;96.53;1725.8;1698.6;0.578;0.1025;0.2377;0.4358;5;0;2900;790429659;6;4;B0700
2332.24;94.65;12.6906;67.76;2.7457;0.2666;2.3013;95.18;1725.85;1698.65;0.596;0.109;0.2484;0.3944;5;0;2900;790429659;6;4;B0700
2332.39;94.65;12.657;69.58;2.9466;0.2645;2.2925;93.14;1725.9;1698.7;0.6264;0.0931;0.2397;0.384;5;0;2900;790429659;6;4;B0700
2332.54;94.65;12.5442;70.28;3.013;0.2634;2.3031;91.69;1725.95;1698.75;0.6379;0.0874;0.2367;0.3799;5;0;2900;790429659;6;4;B0700
2332.69;94.65;12.467;69.62;2.9823;0.2561;2.3223;91.14;1726;1698.8;0.6269;0.0832;0.2299;0.3938;5;0;2900;790429659;6;4;B0700
2332.85;94.66;12.4109;67.59;2.8426;0.252;2.3367;92.18;1726.05;1698.85;0.5932;0.0894;0.2281;0.4158;5;0;2900;790429659;6;4;B0700
2333;94.66;12.4274;65.89;2.7032;0.2549;2.342;95.9;1726.1;1698.9;0.5649;0.0941;0.2263;0.4379;5;0;2900;790429659;6;4;B0700
2333.15;94.66;12.453;63.89;2.67;0.259;2.3405;98.3;1726.15;1698.95;0.5315;0.1034;0.2277;0.4396;5;0;2900;790429659;6;4;B0700
2333.3;94.66;12.5021;62.62;2.7134;0.2536;2.3409;96.89;1726.2;1699;0.5103;0.1065;0.2259;0.4374;5;0;2900;790429659;6;4;B0700
2333.46;94.67;12.5477;61.81;2.7292;0.2399;2.3462;95.16;1726.25;1699.05;0.4968;0.1033;0.2195;0.448;5;0;2900;790429659;6;4;B0700
2333.61;94.67;12.5575;61.21;2.7532;0.2341;2.354;94.12;1726.3;1699.1;0.4868;0.1005;0.2144;0.4558;5;0;2900;790429659;6;4;B0700
2333.76;94.67;12.6848;60.56;2.8222;0.2345;2.356;91.96;1726.36;1699.16;0.4759;0.1022;0.2136;0.4488;5;0;2900;790429659;6;4;B0700
2333.91;94.67;12.7561;59.97;2.9145;0.2361;2.3475;90.07;1726.41;1699.21;0.4662;0.1085;0.2176;0.4296;5;0;2900;790429659;6;4;B0700
2334.06;94.67;12.7565;58.39;3.0765;0.23;2.3259;89.72;1726.46;1699.26;0.4399;0.1218;0.2247;0.3985;5;0;2900;790429659;6;4;B0700
2334.22;94.68;12.7303;54.86;3.2463;0.2199;2.2966;90.69;1726.51;1699.31;0.3811;0.1349;0.224;0.382;2;0;2900;790429659;6;4;B0700
2334.37;94.68;12.6595;50.69;3.3372;0.2063;2.2754;92.52;1726.56;1699.36;0.3116;0.1455;0.2184;0.3801;2;0;2900;790429659;6;4;B0700
2334.52;94.68;12.5463;48.2;3.4366;0.2011;2.2763;94.2;1726.61;1699.41;0.27;0.1548;0.218;0.37;2;0;2900;790429659;6;4;B0700
2334.67;94.68;12.4622;47.05;3.6439;0.206;2.3032;94.58;1726.66;1699.46;0.2508;0.1661;0.2248;0.3437;2;0;2900;790429659;6;4;B0700
2334.83;94.68;12.5251;48.53;3.9013;0.2192;2.3452;92.26;1726.71;1699.51;0.2755;0.1478;0.2123;0.352;3;0;2900;790429659;6;4;B0700
2334.98;94.69;12.6798;52.47;4.2816;0.2354;2.3871;89.22;1726.76;1699.56;0.3412;0.1216;0.2014;0.3509;3;0;2900;790429659;6;4;B0700
2335.13;94.69;12.7803;57.54;4.9946;0.2511;2.4151;87.65;1726.82;1699.62;0.4257;0.1031;0.2027;0.3059;5;0;2900;790429659;6;4;B0700
2335.28;94.69;12.8437;61.25;5.7607;0.2584;2.4247;87.27;1726.87;1699.67;0.4876;0.0885;0.2026;0.2634;5;0;2900;790429659;6;4;B0700
2335.44;94.69;12.8118;63.76;5.5213;0.259;2.4225;87.49;1726.92;1699.72;0.5293;0.0774;0.2012;0.2662;5;0;2900;790429659;6;4;B0700
2335.59;94.7;12.6943;64.84;4.6126;0.2575;2.4189;88.04;1726.97;1699.77;0.5473;0.072;0.2;0.3093;5;0;2900;790429659;6;4;B0700
2335.74;94.7;12.7552;63.19;4.2777;0.2544;2.4195;88.76;1727.02;1699.82;0.5198;0.0777;0.1993;0.337;5;0;2900;790429659;6;4;B0700
2335.89;94.7;12.8964;59.52;4.267;0.2525;2.4172;89.2;1727.07;1699.87;0.4587;0.0943;0.2016;0.3441;5;0;2900;790429659;6;4;B0700
2336.05;94.7;12.9022;57.4;4.0753;0.2521;2.396;89.46;1727.13;1699.93;0.4234;0.1078;0.2069;0.3517;5;0;2900;790429659;6;4;B0700
2336.2;94.7;12.8134;58.6;3.7861;0.2519;2.3464;89.54;1727.18;1699.98;0.4434;0.1184;0.2222;0.3465;5;0;2900;790429659;6;4;B0700
2336.35;94.71;12.6568;59.9;3.5368;0.2526;2.2818;89.51;1727.23;1700.03;0.465;0.1421;0.2509;0.3225;5;0;2900;790429659;6;4;B0700
2336.5;94.71;12.4465;58.73;3.362;0.2569;2.2311;89.69;1727.28;1700.08;0.4456;0.1526;0.2568;0.3257;5;0;2900;790429659;6;4;B0700
2336.66;94.71;12.3548;55.66;3.2579;0.2577;2.2114;91.3;1727.33;1700.13;0.3943;0.1721;0.2644;0.32;2;0;2900;790429659;6;4;B0700
2336.81;94.71;12.3483;53.49;3.1753;0.2491;2.2142;94.21;1727.38;1700.18;0.3582;0.1757;0.2595;0.3293;2;0;2900;790429659;6;4;B0700
